         84298311 function calls (84271918 primitive calls) in 78.872 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 MinimalParser.py:41(<module>)
        1    0.000    0.000    0.000    0.000 MinimalParser.py:49(MinimalParser)
        1    0.000    0.000    0.041    0.041 NeighborSearch.py:30(<module>)
        1    0.000    0.000    0.000    0.000 NeighborSearch.py:40(AtomNeighborSearch)
        1    0.000    0.000    0.000    0.000 PDB.py:1059(ExtendedPDBReader)
        1    0.000    0.000    0.000    0.000 PDB.py:1080(MultiPDBWriter)
        1    0.000    0.000    0.000    0.000 PDB.py:142(<module>)
        1    0.000    0.000    0.000    0.000 PDB.py:171(PDBReader)
        1    0.000    0.000    0.000    0.000 PDB.py:427(PDBWriter)
        1    0.000    0.000    0.000    0.000 PDBParser.py:150(PDBParser)
        1    0.000    0.000    0.000    0.000 PDBParser.py:57(<module>)
        1    0.000    0.000    0.000    0.000 PDBParser.py:94(<listcomp>)
        1    0.000    0.000    0.000    0.000 PDBParser.py:95(<listcomp>)
        1    0.000    0.000    0.000    0.000 PDBQT.py:193(PDBQTWriter)
        1    0.000    0.000    0.000    0.000 PDBQT.py:39(<module>)
        1    0.000    0.000    0.000    0.000 PDBQT.py:52(PDBQTReader)
        1    0.000    0.000    0.000    0.000 PDBQTParser.py:57(<module>)
        1    0.000    0.000    0.000    0.000 PDBQTParser.py:83(PDBQTParser)
        1    0.000    0.000    0.000    0.000 PQR.py:100(<module>)
        1    0.000    0.000    0.000    0.000 PQR.py:113(PQRReader)
        1    0.000    0.000    0.000    0.000 PQR.py:174(PQRWriter)
        1    0.000    0.000    0.000    0.000 PQRParser.py:49(<module>)
        1    0.000    0.000    0.000    0.000 PQRParser.py:74(PQRParser)
        1    0.000    0.000    0.000    0.000 PSFParser.py:45(<module>)
        1    0.000    0.000    0.000    0.000 PSFParser.py:77(PSFParser)
        1    0.000    0.000    0.000    0.000 Seq.py:1416(UnknownSeq)
        1    0.000    0.000    0.000    0.000 Seq.py:2011(MutableSeq)
        1    0.000    0.000    0.032    0.032 Seq.py:21(<module>)
        2    0.000    0.000    0.000    0.000 Seq.py:49(_maketrans)
        1    0.000    0.000    0.000    0.000 Seq.py:77(Seq)
        1    0.000    0.000    0.000    0.000 SeqRecord.py:22(_RestrictedDict)
        1    0.000    0.000    0.000    0.000 SeqRecord.py:9(<module>)
        1    0.000    0.000    0.000    0.000 SeqRecord.py:98(SeqRecord)
        1    0.000    0.000    0.000    0.000 TOPParser.py:118(TypeIndices)
        1    0.000    0.000    0.000    0.000 TOPParser.py:125(TOPParser)
        1    0.000    0.000    0.000    0.000 TOPParser.py:80(<module>)
        1    0.000    0.000    0.002    0.002 TPRParser.py:143(<module>)
        1    0.000    0.000    0.000    0.000 TPRParser.py:160(TPRParser)
        1    0.000    0.000    0.006    0.006 TRJ.py:154(<module>)
        1    0.000    0.000    0.000    0.000 TRJ.py:178(Timestep)
        1    0.000    0.000    0.000    0.000 TRJ.py:191(TRJReader)
        1    0.000    0.000    0.000    0.000 TRJ.py:400(NCDFReader)
        1    0.000    0.000    0.000    0.000 TRJ.py:758(NCDFWriter)
        1    0.000    0.000    0.000    0.000 TRR.py:107(TRRReader)
        1    0.000    0.000    0.000    0.000 TRR.py:33(<module>)
        1    0.000    0.000    0.000    0.000 TRR.py:41(TRRWriter)
        1    0.000    0.000    0.000    0.000 TRZ.py:104(Timestep)
        1    0.000    0.000    0.000    0.000 TRZ.py:129(TRZReader)
        1    0.000    0.000    0.000    0.000 TRZ.py:436(TRZWriter)
        1    0.000    0.000    0.000    0.000 TRZ.py:86(<module>)
        1    0.000    0.000    0.000    0.000 TXYZ.py:47(<module>)
        1    0.000    0.000    0.000    0.000 TXYZ.py:60(TXYZReader)
        1    0.000    0.000    0.000    0.000 TXYZParser.py:44(<module>)
        1    0.000    0.000    0.000    0.000 TXYZParser.py:68(TXYZParser)
        1    0.000    0.000    0.000    0.000 TiffTags.py:20(<module>)
        1    0.000    0.000    0.000    0.000 TiffTags.py:23(TagInfo)
      104    0.000    0.000    0.000    0.000 TiffTags.py:26(__new__)
        1    0.000    0.000    0.000    0.000 TiffTags.py:359(_populate)
        1    0.000    0.000    0.000    0.000 XDR.py:264(XDRBaseWriter)
        1    0.000    0.000    0.000    0.000 XDR.py:35(<module>)
        1    0.000    0.000    0.000    0.000 XDR.py:88(XDRBaseReader)
        1    0.000    0.000    0.000    0.000 XTC.py:102(XTCReader)
        1    0.000    0.000    0.000    0.000 XTC.py:33(<module>)
        1    0.000    0.000    0.000    0.000 XTC.py:41(XTCWriter)
        1    0.000    0.000    0.000    0.000 XVG.py:108(XVGStep)
        1    0.000    0.000    0.000    0.000 XVG.py:158(XVGReader)
        1    0.000    0.000    0.000    0.000 XVG.py:262(XVGFileReader)
        1    0.000    0.000    0.000    0.000 XVG.py:68(<module>)
        1    0.000    0.000    0.000    0.000 XYZ.py:103(XYZWriter)
        1    0.000    0.000    0.000    0.000 XYZ.py:263(XYZReader)
        1    0.000    0.000    0.001    0.001 XYZ.py:300(__init__)
        1    0.000    0.000    0.000    0.000 XYZ.py:318(n_atoms)
        1    0.000    0.000    2.084    2.084 XYZ.py:327(n_frames)
        1    1.069    1.069    2.084    2.084 XYZ.py:335(_read_xyz_n_frames)
     2252    0.041    0.000    0.933    0.000 XYZ.py:355(_read_frame)
     2254    0.241    0.000    0.870    0.000 XYZ.py:360(_read_next_timestep)
        1    0.000    0.000    0.000    0.000 XYZ.py:381(_reopen)
        1    0.000    0.000    0.000    0.000 XYZ.py:385(open_trajectory)
        1    0.000    0.000    0.000    0.000 XYZ.py:424(close)
        1    0.000    0.000    0.000    0.000 XYZ.py:83(<module>)
        1    0.000    0.000    0.000    0.000 XYZParser.py:40(<module>)
        1    0.000    0.000    0.000    0.000 XYZParser.py:61(XYZParser)
        1    0.000    0.000    0.002    0.002 XYZParser.py:75(parse)
        2    0.000    0.000    0.000    0.000 __config__.py:3(<module>)
        1    0.000    0.000    0.000    0.000 __future__.py:48(<module>)
        1    0.000    0.000    0.000    0.000 __future__.py:80(_Feature)
       10    0.000    0.000    0.000    0.000 __future__.py:81(__init__)
       31    0.000    0.000    0.245    0.008 __init__.py:1(<module>)
        1    0.000    0.000    0.005    0.005 __init__.py:10(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:10(__init__)
        1    0.000    0.000    0.031    0.031 __init__.py:101(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:101(SingleLetterAlphabet)
        1    0.000    0.000    0.000    0.000 __init__.py:1035(<listcomp>)
        1    0.000    0.000    0.000    0.000 __init__.py:106(<listcomp>)
        1    0.000    0.000    0.096    0.096 __init__.py:106(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:1065(FileHandler)
        1    0.000    0.000    0.000    0.000 __init__.py:109(<listcomp>)
